cohort_month,activity_month,active_customers,months_since_signup,cohort_customers,retention_pct
2021-04-01,2022-05-01,71,13,85,83.53
2021-04-01,2022-06-01,66,14,85,77.65
2021-04-01,2022-07-01,65,15,85,76.47
2021-04-01,2022-08-01,71,16,85,83.53
2021-04-01,2022-09-01,61,17,85,71.76
2021-04-01,2022-10-01,62,18,85,72.94
2021-04-01,2022-11-01,63,19,85,74.12
2021-04-01,2022-12-01,75,20,85,88.24
2021-04-01,2023-01-01,78,21,85,91.76
2021-04-01,2023-02-01,70,22,85,82.35
2021-04-01,2023-03-01,59,23,85,69.41
2021-04-01,2023-04-01,76,24,85,89.41
2021-04-01,2023-05-01,73,25,85,85.88
2021-04-01,2023-06-01,70,26,85,82.35
2021-04-01,2023-07-01,69,27,85,81.18
2021-04-01,2023-08-01,61,28,85,71.76
2021-04-01,2023-09-01,55,29,85,64.71
2021-04-01,2023-10-01,62,30,85,72.94
2021-04-01,2023-11-01,62,31,85,72.94
2021-04-01,2023-12-01,65,32,85,76.47
2021-04-01,2024-01-01,79,33,85,92.94
2021-04-01,2024-02-01,75,34,85,88.24
2021-04-01,2024-03-01,66,35,85,77.65
2021-04-01,2024-04-01,72,36,85,84.71
2021-04-01,2024-05-01,76,37,85,89.41
2021-04-01,2024-06-01,70,38,85,82.35
2021-04-01,2024-07-01,67,39,85,78.82
2021-04-01,2024-08-01,67,40,85,78.82
2021-04-01,2024-09-01,56,41,85,65.88
2021-04-01,2024-10-01,59,42,85,69.41
2021-04-01,2024-11-01,58,43,85,68.24
2021-04-01,2024-12-01,73,44,85,85.88
2021-04-01,2025-01-01,79,45,85,92.94
2021-04-01,2025-02-01,76,46,85,89.41
2021-04-01,2025-03-01,71,47,85,83.53
2021-04-01,2025-04-01,58,48,85,68.24
2021-04-01,2025-05-01,75,49,85,88.24
2021-04-01,2025-06-01,66,50,85,77.65
2021-04-01,2025-07-01,66,51,85,77.65
2021-04-01,2025-08-01,78,52,85,91.76
2021-04-01,2025-09-01,57,53,85,67.06
2021-04-01,2025-10-01,51,54,85,60.0
2021-05-01,2021-05-01,46,0,82,56.1
2021-05-01,2021-06-01,67,1,82,81.71
2021-05-01,2021-07-01,66,2,82,80.49
2021-05-01,2021-08-01,67,3,82,81.71
2021-05-01,2021-09-01,59,4,82,71.95
2021-05-01,2021-10-01,57,5,82,69.51
2021-05-01,2021-11-01,54,6,82,65.85
2021-05-01,2021-12-01,59,7,82,71.95
2021-05-01,2022-01-01,75,8,82,91.46
2021-05-01,2022-02-01,74,9,82,90.24
2021-05-01,2022-03-01,47,10,82,57.32
2021-05-01,2022-04-01,73,11,82,89.02
2021-05-01,2022-05-01,74,12,82,90.24
2021-05-01,2022-06-01,72,13,82,87.8
2021-05-01,2022-07-01,66,14,82,80.49
2021-05-01,2022-08-01,68,15,82,82.93
2021-05-01,2022-09-01,57,16,82,69.51
2021-05-01,2022-10-01,60,17,82,73.17
2021-05-01,2022-11-01,61,18,82,74.39
2021-05-01,2022-12-01,66,19,82,80.49
2021-05-01,2023-01-01,69,20,82,84.15
2021-05-01,2023-02-01,68,21,82,82.93
2021-05-01,2023-03-01,65,22,82,79.27
2021-05-01,2023-04-01,69,23,82,84.15
2021-05-01,2023-05-01,65,24,82,79.27
2021-05-01,2023-06-01,68,25,82,82.93
2021-05-01,2023-07-01,68,26,82,82.93
2021-05-01,2023-08-01,63,27,82,76.83
2021-05-01,2023-09-01,64,28,82,78.05
2021-05-01,2023-10-01,51,29,82,62.2
2021-05-01,2023-11-01,52,30,82,63.41
2021-05-01,2023-12-01,64,31,82,78.05
2021-05-01,2024-01-01,73,32,82,89.02
2021-05-01,2024-02-01,77,33,82,93.9
2021-05-01,2024-03-01,68,34,82,82.93
2021-05-01,2024-04-01,68,35,82,82.93
2021-05-01,2024-05-01,66,36,82,80.49
2021-05-01,2024-06-01,69,37,82,84.15
2021-05-01,2024-07-01,73,38,82,89.02
2021-05-01,2024-08-01,57,39,82,69.51
2021-05-01,2024-09-01,58,40,82,70.73
2021-05-01,2024-10-01,59,41,82,71.95
2021-05-01,2024-11-01,60,42,82,73.17
2021-05-01,2024-12-01,67,43,82,81.71
2021-05-01,2025-01-01,76,44,82,92.68
2021-05-01,2025-02-01,68,45,82,82.93
2021-05-01,2025-03-01,72,46,82,87.8
2021-05-01,2025-04-01,61,47,82,74.39
2021-05-01,2025-05-01,71,48,82,86.59
2021-05-01,2025-06-01,70,49,82,85.37
2021-05-01,2025-07-01,68,50,82,82.93
2021-05-01,2025-08-01,69,51,82,84.15
2021-05-01,2025-09-01,53,52,82,64.63
2021-05-01,2025-10-01,53,53,82,64.63
2021-06-01,2021-06-01,55,0,96,57.29
2021-06-01,2021-07-01,78,1,96,81.25
2021-06-01,2021-08-01,80,2,96,83.33
2021-06-01,2021-09-01,70,3,96,72.92
2021-06-01,2021-10-01,67,4,96,69.79
2021-06-01,2021-11-01,73,5,96,76.04
2021-06-01,2021-12-01,79,6,96,82.29
2021-06-01,2022-01-01,90,7,96,93.75
2021-06-01,2022-02-01,80,8,96,83.33
2021-06-01,2022-03-01,71,9,96,73.96
2021-06-01,2022-04-01,74,10,96,77.08
2021-06-01,2022-05-01,76,11,96,79.17
2021-06-01,2022-06-01,78,12,96,81.25
2021-06-01,2022-07-01,83,13,96,86.46
2021-06-01,2022-08-01,79,14,96,82.29
2021-06-01,2022-09-01,73,15,96,76.04
2021-06-01,2022-10-01,71,16,96,73.96
2021-06-01,2022-11-01,73,17,96,76.04
2021-06-01,2022-12-01,75,18,96,78.12
2021-06-01,2023-01-01,85,19,96,88.54
2021-06-01,2023-02-01,79,20,96,82.29
2021-06-01,2023-03-01,70,21,96,72.92
2021-06-01,2023-04-01,81,22,96,84.38
2021-06-01,2023-05-01,85,23,96,88.54
2021-06-01,2023-06-01,77,24,96,80.21
2021-06-01,2023-07-01,72,25,96,75.0
2021-06-01,2023-08-01,81,26,96,84.38
2021-06-01,2023-09-01,68,27,96,70.83
2021-06-01,2023-10-01,64,28,96,66.67
2021-06-01,2023-11-01,69,29,96,71.88
2021-06-01,2023-12-01,84,30,96,87.5
2021-06-01,2024-01-01,87,31,96,90.62
2021-06-01,2024-02-01,83,32,96,86.46
2021-06-01,2024-03-01,71,33,96,73.96
2021-06-01,2024-04-01,71,34,96,73.96
2021-06-01,2024-05-01,84,35,96,87.5
2021-06-01,2024-06-01,82,36,96,85.42
2021-06-01,2024-07-01,83,37,96,86.46
2021-06-01,2024-08-01,84,38,96,87.5
2021-06-01,2024-09-01,70,39,96,72.92
2021-06-01,2024-10-01,69,40,96,71.88
2021-06-01,2024-11-01,71,41,96,73.96
2021-06-01,2024-12-01,74,42,96,77.08
2021-06-01,2025-01-01,85,43,96,88.54
2021-06-01,2025-02-01,86,44,96,89.58
2021-06-01,2025-03-01,81,45,96,84.38
2021-06-01,2025-04-01,64,46,96,66.67
2021-06-01,2025-05-01,81,47,96,84.38
2021-06-01,2025-06-01,86,48,96,89.58
2021-06-01,2025-07-01,77,49,96,80.21
2021-06-01,2025-08-01,79,50,96,82.29
2021-06-01,2025-09-01,64,51,96,66.67
2021-06-01,2025-10-01,65,52,96,67.71
2021-07-01,2021-07-01,54,0,98,55.1
2021-07-01,2021-08-01,77,1,98,78.57
2021-07-01,2021-09-01,65,2,98,66.33
2021-07-01,2021-10-01,69,3,98,70.41
2021-07-01,2021-11-01,74,4,98,75.51
2021-07-01,2021-12-01,81,5,98,82.65
2021-07-01,2022-01-01,85,6,98,86.73
2021-07-01,2022-02-01,91,7,98,92.86
2021-07-01,2022-03-01,62,8,98,63.27
2021-07-01,2022-04-01,87,9,98,88.78
2021-07-01,2022-05-01,79,10,98,80.61
2021-07-01,2022-06-01,79,11,98,80.61
2021-07-01,2022-07-01,82,12,98,83.67
2021-07-01,2022-08-01,84,13,98,85.71
2021-07-01,2022-09-01,71,14,98,72.45
2021-07-01,2022-10-01,78,15,98,79.59
2021-07-01,2022-11-01,66,16,98,67.35
2021-07-01,2022-12-01,75,17,98,76.53
2021-07-01,2023-01-01,91,18,98,92.86
2021-07-01,2023-02-01,80,19,98,81.63
2021-07-01,2023-03-01,61,20,98,62.24
2021-07-01,2023-04-01,85,21,98,86.73
2021-07-01,2023-05-01,83,22,98,84.69
2021-07-01,2023-06-01,84,23,98,85.71
2021-07-01,2023-07-01,81,24,98,82.65
2021-07-01,2023-08-01,80,25,98,81.63
2021-07-01,2023-09-01,65,26,98,66.33
2021-07-01,2023-10-01,79,27,98,80.61
2021-07-01,2023-11-01,68,28,98,69.39
2021-07-01,2023-12-01,84,29,98,85.71
2021-07-01,2024-01-01,87,30,98,88.78
2021-07-01,2024-02-01,89,31,98,90.82
2021-07-01,2024-03-01,79,32,98,80.61
2021-07-01,2024-04-01,76,33,98,77.55
2021-07-01,2024-05-01,82,34,98,83.67
2021-07-01,2024-06-01,79,35,98,80.61
2021-07-01,2024-07-01,81,36,98,82.65
2021-07-01,2024-08-01,83,37,98,84.69
2021-07-01,2024-09-01,64,38,98,65.31
2021-07-01,2024-10-01,77,39,98,78.57
2021-07-01,2024-11-01,69,40,98,70.41
2021-07-01,2024-12-01,75,41,98,76.53
2021-07-01,2025-01-01,91,42,98,92.86
2021-07-01,2025-02-01,83,43,98,84.69
2021-07-01,2025-03-01,80,44,98,81.63
2021-07-01,2025-04-01,76,45,98,77.55
2021-07-01,2025-05-01,86,46,98,87.76
2021-07-01,2025-06-01,84,47,98,85.71
2021-07-01,2025-07-01,78,48,98,79.59
2021-07-01,2025-08-01,77,49,98,78.57
2021-07-01,2025-09-01,67,50,98,68.37
2021-07-01,2025-10-01,73,51,98,74.49
2021-08-01,2021-08-01,45,0,97,46.39
2021-08-01,2021-09-01,61,1,97,62.89
2021-08-01,2021-10-01,62,2,97,63.92
2021-08-01,2021-11-01,62,3,97,63.92
2021-08-01,2021-12-01,77,4,97,79.38
2021-08-01,2022-01-01,91,5,97,93.81
2021-08-01,2022-02-01,82,6,97,84.54
2021-08-01,2022-03-01,77,7,97,79.38
2021-08-01,2022-04-01,77,8,97,79.38
2021-08-01,2022-05-01,79,9,97,81.44
2021-08-01,2022-06-01,70,10,97,72.16
2021-08-01,2022-07-01,83,11,97,85.57
2021-08-01,2022-08-01,85,12,97,87.63
2021-08-01,2022-09-01,61,13,97,62.89
2021-08-01,2022-10-01,65,14,97,67.01
2021-08-01,2022-11-01,74,15,97,76.29
2021-08-01,2022-12-01,85,16,97,87.63
2021-08-01,2023-01-01,84,17,97,86.6
2021-08-01,2023-02-01,85,18,97,87.63
2021-08-01,2023-03-01,67,19,97,69.07
2021-08-01,2023-04-01,75,20,97,77.32
2021-08-01,2023-05-01,80,21,97,82.47
2021-08-01,2023-06-01,77,22,97,79.38
2021-08-01,2023-07-01,82,23,97,84.54
2021-08-01,2023-08-01,81,24,97,83.51
2021-08-01,2023-09-01,73,25,97,75.26
2021-08-01,2023-10-01,73,26,97,75.26
2021-08-01,2023-11-01,67,27,97,69.07
2021-08-01,2023-12-01,76,28,97,78.35
2021-08-01,2024-01-01,87,29,97,89.69
2021-08-01,2024-02-01,83,30,97,85.57
2021-08-01,2024-03-01,77,31,97,79.38
2021-08-01,2024-04-01,67,32,97,69.07
2021-08-01,2024-05-01,85,33,97,87.63
2021-08-01,2024-06-01,83,34,97,85.57
2021-08-01,2024-07-01,79,35,97,81.44
2021-08-01,2024-08-01,77,36,97,79.38
2021-08-01,2024-09-01,72,37,97,74.23
2021-08-01,2024-10-01,72,38,97,74.23
2021-08-01,2024-11-01,69,39,97,71.13
2021-08-01,2024-12-01,72,40,97,74.23
2021-08-01,2025-01-01,90,41,97,92.78
2021-08-01,2025-02-01,87,42,97,89.69
2021-08-01,2025-03-01,88,43,97,90.72
2021-08-01,2025-04-01,69,44,97,71.13
2021-08-01,2025-05-01,87,45,97,89.69
2021-08-01,2025-06-01,74,46,97,76.29
2021-08-01,2025-07-01,79,47,97,81.44
2021-08-01,2025-08-01,72,48,97,74.23
2021-08-01,2025-09-01,71,49,97,73.2
2021-08-01,2025-10-01,69,50,97,71.13
2021-09-01,2021-09-01,31,0,86,36.05
2021-09-01,2021-10-01,58,1,86,67.44
2021-09-01,2021-11-01,60,2,86,69.77
2021-09-01,2021-12-01,64,3,86,74.42
2021-09-01,2022-01-01,76,4,86,88.37
2021-09-01,2022-02-01,79,5,86,91.86
2021-09-01,2022-03-01,60,6,86,69.77
2021-09-01,2022-04-01,72,7,86,83.72
2021-09-01,2022-05-01,71,8,86,82.56
2021-09-01,2022-06-01,68,9,86,79.07
2021-09-01,2022-07-01,77,10,86,89.53
2021-09-01,2022-08-01,71,11,86,82.56
2021-09-01,2022-09-01,60,12,86,69.77
2021-09-01,2022-10-01,61,13,86,70.93
2021-09-01,2022-11-01,64,14,86,74.42
2021-09-01,2022-12-01,73,15,86,84.88
2021-09-01,2023-01-01,78,16,86,90.7
2021-09-01,2023-02-01,71,17,86,82.56
2021-09-01,2023-03-01,66,18,86,76.74
2021-09-01,2023-04-01,77,19,86,89.53
2021-09-01,2023-05-01,72,20,86,83.72
2021-09-01,2023-06-01,69,21,86,80.23
2021-09-01,2023-07-01,66,22,86,76.74
2021-09-01,2023-08-01,66,23,86,76.74
2021-09-01,2023-09-01,48,24,86,55.81
2021-09-01,2023-10-01,67,25,86,77.91
2021-09-01,2023-11-01,60,26,86,69.77
2021-09-01,2023-12-01,64,27,86,74.42
2021-09-01,2024-01-01,77,28,86,89.53
2021-09-01,2024-02-01,79,29,86,91.86
2021-09-01,2024-03-01,74,30,86,86.05
2021-09-01,2024-04-01,66,31,86,76.74
2021-09-01,2024-05-01,77,32,86,89.53
2021-09-01,2024-06-01,74,33,86,86.05
2021-09-01,2024-07-01,64,34,86,74.42
2021-09-01,2024-08-01,69,35,86,80.23
2021-09-01,2024-09-01,53,36,86,61.63
2021-09-01,2024-10-01,66,37,86,76.74
2021-09-01,2024-11-01,66,38,86,76.74
2021-09-01,2024-12-01,68,39,86,79.07
2021-09-01,2025-01-01,78,40,86,90.7
2021-09-01,2025-02-01,73,41,86,84.88
2021-09-01,2025-03-01,80,42,86,93.02
2021-09-01,2025-04-01,58,43,86,67.44
2021-09-01,2025-05-01,71,44,86,82.56
2021-09-01,2025-06-01,72,45,86,83.72
2021-09-01,2025-07-01,78,46,86,90.7
2021-09-01,2025-08-01,71,47,86,82.56
2021-09-01,2025-09-01,65,48,86,75.58
2021-09-01,2025-10-01,61,49,86,70.93
2021-10-01,2021-10-01,46,0,85,54.12
2021-10-01,2021-11-01,56,1,85,65.88
2021-10-01,2021-12-01,67,2,85,78.82
2021-10-01,2022-01-01,75,3,85,88.24
2021-10-01,2022-02-01,74,4,85,87.06
2021-10-01,2022-03-01,62,5,85,72.94
2021-10-01,2022-04-01,68,6,85,80.0
2021-10-01,2022-05-01,71,7,85,83.53
2021-10-01,2022-06-01,68,8,85,80.0
2021-10-01,2022-07-01,66,9,85,77.65
2021-10-01,2022-08-01,71,10,85,83.53
2021-10-01,2022-09-01,60,11,85,70.59
2021-10-01,2022-10-01,64,12,85,75.29
2021-10-01,2022-11-01,54,13,85,63.53
2021-10-01,2022-12-01,67,14,85,78.82
2021-10-01,2023-01-01,81,15,85,95.29
2021-10-01,2023-02-01,76,16,85,89.41
2021-10-01,2023-03-01,61,17,85,71.76
2021-10-01,2023-04-01,71,18,85,83.53
2021-10-01,2023-05-01,73,19,85,85.88
2021-10-01,2023-06-01,74,20,85,87.06
2021-10-01,2023-07-01,70,21,85,82.35
2021-10-01,2023-08-01,62,22,85,72.94
2021-10-01,2023-09-01,52,23,85,61.18
2021-10-01,2023-10-01,60,24,85,70.59
2021-10-01,2023-11-01,59,25,85,69.41
2021-10-01,2023-12-01,69,26,85,81.18
2021-10-01,2024-01-01,76,27,85,89.41
2021-10-01,2024-02-01,73,28,85,85.88
2021-10-01,2024-03-01,68,29,85,80.0
2021-10-01,2024-04-01,67,30,85,78.82
2021-10-01,2024-05-01,69,31,85,81.18
2021-10-01,2024-06-01,73,32,85,85.88
2021-10-01,2024-07-01,75,33,85,88.24
2021-10-01,2024-08-01,69,34,85,81.18
2021-10-01,2024-09-01,56,35,85,65.88
2021-10-01,2024-10-01,67,36,85,78.82
2021-10-01,2024-11-01,61,37,85,71.76
2021-10-01,2024-12-01,72,38,85,84.71
2021-10-01,2025-01-01,75,39,85,88.24
2021-10-01,2025-02-01,75,40,85,88.24
2021-10-01,2025-03-01,72,41,85,84.71
2021-10-01,2025-04-01,64,42,85,75.29
2021-10-01,2025-05-01,68,43,85,80.0
2021-10-01,2025-06-01,70,44,85,82.35
2021-10-01,2025-07-01,68,45,85,80.0
2021-10-01,2025-08-01,74,46,85,87.06
2021-10-01,2025-09-01,54,47,85,63.53
2021-10-01,2025-10-01,59,48,85,69.41
2021-11-01,2021-11-01,49,0,102,48.04
2021-11-01,2021-12-01,80,1,102,78.43
2021-11-01,2022-01-01,90,2,102,88.24
2021-11-01,2022-02-01,92,3,102,90.2
2021-11-01,2022-03-01,72,4,102,70.59
2021-11-01,2022-04-01,86,5,102,84.31
2021-11-01,2022-05-01,92,6,102,90.2
2021-11-01,2022-06-01,80,7,102,78.43
2021-11-01,2022-07-01,83,8,102,81.37
2021-11-01,2022-08-01,87,9,102,85.29
2021-11-01,2022-09-01,70,10,102,68.63
2021-11-01,2022-10-01,76,11,102,74.51
2021-11-01,2022-11-01,65,12,102,63.73
2021-11-01,2022-12-01,87,13,102,85.29
2021-11-01,2023-01-01,89,14,102,87.25
2021-11-01,2023-02-01,81,15,102,79.41
2021-11-01,2023-03-01,84,16,102,82.35
2021-11-01,2023-04-01,82,17,102,80.39
2021-11-01,2023-05-01,88,18,102,86.27
2021-11-01,2023-06-01,88,19,102,86.27
2021-11-01,2023-07-01,89,20,102,87.25
2021-11-01,2023-08-01,83,21,102,81.37
2021-11-01,2023-09-01,62,22,102,60.78
2021-11-01,2023-10-01,75,23,102,73.53
2021-11-01,2023-11-01,77,24,102,75.49
2021-11-01,2023-12-01,86,25,102,84.31
2021-11-01,2024-01-01,93,26,102,91.18
2021-11-01,2024-02-01,85,27,102,83.33
2021-11-01,2024-03-01,80,28,102,78.43
2021-11-01,2024-04-01,82,29,102,80.39
2021-11-01,2024-05-01,83,30,102,81.37
2021-11-01,2024-06-01,85,31,102,83.33
2021-11-01,2024-07-01,87,32,102,85.29
2021-11-01,2024-08-01,81,33,102,79.41
2021-11-01,2024-09-01,56,34,102,54.9
2021-11-01,2024-10-01,85,35,102,83.33
2021-11-01,2024-11-01,74,36,102,72.55
2021-11-01,2024-12-01,80,37,102,78.43
2021-11-01,2025-01-01,92,38,102,90.2
2021-11-01,2025-02-01,82,39,102,80.39
2021-11-01,2025-03-01,88,40,102,86.27
2021-11-01,2025-04-01,81,41,102,79.41
2021-11-01,2025-05-01,80,42,102,78.43
2021-11-01,2025-06-01,84,43,102,82.35
2021-11-01,2025-07-01,77,44,102,75.49
